iteration,B3_Q,B4_SR,B5_CR,B6_AF,B2_Persuade,RtoQ,Empathy,loop,affirm_rate
0,6.448,2.656,1.302,0.417,1.281,0.61,3.448,0.49,0.031
1,5.802,2.562,1.271,0.427,1.094,0.612,3.698,0.375,0.037
2,5.854,2.677,1.271,0.479,1.552,0.764,3.833,0.271,0.04
3,4.958,2.281,1.229,0.427,1.573,0.673,4.01,0.104,0.041
4,4.635,2.104,1.198,0.646,1.708,0.65,4.198,0.042,0.041
5,4.615,1.958,1.073,0.521,1.781,0.607,4.26,0.01,0.054
6,4.417,1.896,1.073,0.844,1.677,0.652,4.427,0.01,0.107
7,4.458,1.865,1.052,1.115,1.708,0.606,4.396,0.01,0.188
8,3.938,1.885,1.156,1.073,1.583,0.798,4.531,0.01,0.282
9,3.594,1.646,1.052,1.365,1.562,0.727,4.573,0.0,0.415
10,3.844,1.698,1.125,1.635,1.562,0.75,4.615,0.0,0.456
