arm,metric,chi2,p,kendall_w,k_iters,n_personas
GRPO_LA0,Q1Q2,104.4452,0.0,0.3627,4,96
GRPO_LA0,WAI-SR,26.8409,0.0,0.0932,4,96
GRPO_LA0,CSQ-8,35.3893,0.0,0.1229,4,96
GRPO_LA0,MI-SAT,35.0384,0.0,0.1217,4,96
GRPO_LA0,MITI,73.8057,0.0,0.2563,4,96
GRPO_LA0,Q1,97.0579,0.0,0.337,4,96
GRPO_LA0,Q2,77.4383,0.0,0.2689,4,96
GRPO_LA5,Q1Q2,,,,1,96
GRPO_LA5,WAI-SR,,,,1,96
GRPO_LA5,CSQ-8,,,,1,96
GRPO_LA5,MI-SAT,,,,1,96
GRPO_LA5,MITI,,,,1,96
GRPO_LA5,Q1,,,,1,96
GRPO_LA5,Q2,,,,1,96
PTO_LA0,Q1Q2,432.4498,0.0,0.4505,11,96
PTO_LA0,WAI-SR,254.6956,0.0,0.2653,11,96
PTO_LA0,CSQ-8,153.8643,0.0,0.1603,11,96
PTO_LA0,MI-SAT,191.6901,0.0,0.1997,11,96
PTO_LA0,MITI,400.501,0.0,0.4172,11,96
PTO_LA0,Q1,359.2287,0.0,0.3742,11,96
PTO_LA0,Q2,455.1016,0.0,0.4741,11,96
PTO_LA5,Q1Q2,,,,2,96
PTO_LA5,WAI-SR,,,,2,96
PTO_LA5,CSQ-8,,,,2,96
PTO_LA5,MI-SAT,,,,2,96
PTO_LA5,MITI,,,,2,96
PTO_LA5,Q1,,,,2,96
PTO_LA5,Q2,,,,2,96
